Judge,URL,Slug,Born,Confirmed,Court,Died,Education,President,Service Terminated
"Hodge, Walter Hartman",https://www.fjc.gov/history/judges/hodge-walter-hartman,history/judges/hodge-walter-hartman,['1896'],"['February 18, 1960']",['U.S. District Court for the District of Alaska'],[],"['University of Washington School of Law, LL.B., 1919']",['Dwight D. Eisenhower'],"['death.Other Federal Judicial Service:Judge, U.S. District Court for the District of Alaska Territory, 1954-195']"
"Plummer, Raymond Eugene",https://www.fjc.gov/history/judges/plummer-raymond-eugene,history/judges/plummer-raymond-eugene,['1913'],"['September 8, 1961']",['U.S. District Court for the District of Alaska'],[],"['University of Nebraska, B.A., 1937University of Nebraska College of Law, LL.B., 1939']",['John F. Kennedy'],"['certified disability on June 1, 1973. Service terminated on December 26, 1987, due to death']"
"von der Heydt, James Arnold",https://www.fjc.gov/history/judges/von-der-heydt-james-arnold,history/judges/von-der-heydt-james-arnold,['1919'],"['October 20, 1966']",['U.S. District Court for the District of Alaska'],['2013'],"['Albion College, B.A., 1942Northwestern University School of Law, J.D., 1951']",['Lyndon B. Johnson'],"['death.Other Federal Judicial Service:U.S. Commissioner, U.S. District Court for the District of Alaska Territory, 195']"
"Fitzgerald, James Martin",https://www.fjc.gov/history/judges/fitzgerald-james-martin,history/judges/fitzgerald-james-martin,['1920'],"['December 18, 1974']",['U.S. District Court for the District of Alaska'],['2011'],"['Willamette University, B.A., 1950Willamette University College of Law, LL.B., 1951']",['Gerald Ford'],['death']
"Holland, H[ezekiah] Russel",https://www.fjc.gov/history/judges/holland-hezekiah-russel,history/judges/holland-hezekiah-russel,['1936'],"['March 26, 1984']",['U.S. District Court for the District of Alaska'],[],"['University of Michigan, B.B.A., 1958University of Michigan Law School, LL.B., 1961']",['Ronald Reagan'],[]
"Kleinfeld, Andrew Jay",https://www.fjc.gov/history/judges/kleinfeld-andrew-jay,history/judges/kleinfeld-andrew-jay,['1945'],"['May 14, 1986', 'September 12, 1991']",['U.S. District Court for the District of Alaska'],[],"['Wesleyan University, B.A., 1966Harvard Law School, J.D., 1969']","['Ronald Reagan', 'George H.W. Bush']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Ninth CircuitNominated by George H.W. Bush on May 23, 1991, to a seat vacated by Alfred Theodore Goodwin. Confirmed by the Senate on September 12, 1991, and received commission on September 16, 1991. Assumed senior status on June 12, 2010. Other Federal Judicial Service:U.S. Magistrate, U.S. District Court for the District of Alaska, 1971-197']"
"Singleton, James Keith, Jr.",https://www.fjc.gov/history/judges/singleton-james-keith-jr,history/judges/singleton-james-keith-jr,['1939'],"['May 11, 1990']",['U.S. District Court for the District of Alaska'],[],"['University of California, Berkeley, A.B., 1961University of California, Berkeley, Boalt Hall School of Law, LL.B., 1964']",['George H.W. Bush'],[]
"Sedwick, John W.",https://www.fjc.gov/history/judges/sedwick-john-w,history/judges/sedwick-john-w,['1946'],"['October 8, 1992']",['U.S. District Court for the District of Alaska'],[],"['Dartmouth College, B.A., 1968Harvard Law School, J.D., 1972']",['George H.W. Bush'],[]
"Beistline, Ralph R.",https://www.fjc.gov/history/judges/beistline-ralph-r,history/judges/beistline-ralph-r,['1948'],"['March 12, 2002']",['U.S. District Court for the District of Alaska'],[],"['University of Alaska Fairbanks, B.A., 1972University of Puget Sound School of Law (now Seattle University School of Law), J.D., 1974']",['George W. Bush'],[]
"Burgess, Timothy Mark",https://www.fjc.gov/history/judges/burgess-timothy-mark,history/judges/burgess-timothy-mark,['1956'],"['December 21, 2005']",['U.S. District Court for the District of Alaska'],[],"['Canada College, A.A., 1976University of Alaska Fairbanks, B.A., 1978University of Alaska Fairbanks, M.B.A., 1982Northeastern University School of Law, J.D., 1987']",['George W. Bush'],[]
"Gleason, Sharon Louise",https://www.fjc.gov/history/judges/gleason-sharon-louise,history/judges/gleason-sharon-louise,['1957'],"['November 15, 2011']",['U.S. District Court for the District of Alaska'],[],"['Washington University in St. Louis, B.A., 1979University of California, Davis, School of Law, J.D., 1983']",['Barack Obama'],[]
,,,[],[],[],[],[],[],[]
Chief Judges,https://www.fjc.gov/history/courts/u.s.-district-court-district-alaska-chief-judges,history/courts/u.s.-district-court-district-alaska-chief-judges,[],[],[],[],[],[],[]
Alaska Home Page,https://www.fjc.gov/history/courts/u.s.-district-court-district-alaska,history/courts/u.s.-district-court-district-alaska,,,,,,,
Legislative History,https://www.fjc.gov/history/courts/u.s.-district-court-district-alaska-legislative-history,history/courts/u.s.-district-court-district-alaska-legislative-history,[],[],[],[],[],[],[]
Succession Chart,https://www.fjc.gov/history/courts/u.s.-district-court-district-alaska-succession-chart,history/courts/u.s.-district-court-district-alaska-succession-chart,[],[],[],[],[],[],[]
Meeting Places,https://www.fjc.gov/history/courts/u.s.-district-court-district-alaska-meeting-places,history/courts/u.s.-district-court-district-alaska-meeting-places,[],[],[],[],[],[],[]
Records and Bibliography,https://www.fjc.gov/history/courts/u.s.-district-court-district-alaska-records-and-bibliography,history/courts/u.s.-district-court-district-alaska-records-and-bibliography,[],[],[],[],[],[],[]
"Sloan, Richard Elihu",https://www.fjc.gov/history/judges/sloan-richard-elihu,history/judges/sloan-richard-elihu,['1857'],[],[],['1933'],"['Monmouth College, A.B., 1877Cincinnati Law School (now University of Cincinnati College of Law), LL.B., 1884']",[],[]
"Sawtelle, William Henry",https://www.fjc.gov/history/judges/sawtelle-william-henry,history/judges/sawtelle-william-henry,['1868'],"['August 18, 1913', 'January 22, 1931']",['U.S. District Court for the District of Arizona'],[],"['Read law, 1886']","['Woodrow Wilson', 'Herbert Hoover']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Ninth CircuitNominated by Herbert Hoover on January 8, 1931, to a seat vacated by Frank Sigel Dietrich. Confirmed by the Senate on January 22, 1931, and received commission on January 29, 1931. Service terminated on December 17, 1934, due to death']"
"Jacobs, Fred Clinton",https://www.fjc.gov/history/judges/jacobs-fred-clinton,history/judges/jacobs-fred-clinton,['1865'],"['March 2, 1923']",['U.S. District Court for the District of Arizona'],[],['University of Chicago'],['Warren G. Harding'],['death']
"Sames, Albert Morris",https://www.fjc.gov/history/judges/sames-albert-morris,history/judges/sames-albert-morris,['1873'],"['February 6, 1931']",['U.S. District Court for the District of Arizona'],[],"['University of Wisconsin Law School, LL.B., 1894Columbian University School of Law (now George Washington University Law School), LL.M., 1895']",['Herbert Hoover'],"['death.Other Federal Judicial Service:U.S. Commissioner, U.S. District Court for the District of Arizona, 1906-191']"
"Ling, David W.",https://www.fjc.gov/history/judges/ling-david-w,history/judges/ling-david-w,['1890'],"['May 30, 1936']",['U.S. District Court for the District of Arizona'],['1965'],"['University of Southern California Law School, LL.B., 1913']",['Franklin D. Roosevelt'],['death']
"Speakman, Howard C.",https://www.fjc.gov/history/judges/speakman-howard-c,history/judges/speakman-howard-c,['1892'],"['April 9, 1946']",['U.S. District Court for the District of Arizona'],[],"['University of Oklahoma, A.B., 1912University of Oklahoma College of Law, LL.B., 1915']",['Harry S Truman'],['death']
"Walsh, James Augustine",https://www.fjc.gov/history/judges/walsh-james-augustine,history/judges/walsh-james-augustine,['1906'],"['July 5, 1952']",['U.S. District Court for the District of Arizona'],[],"['Georgetown College Law School (now Georgetown University Law Center), LL.B., 1928']",['Harry S Truman'],['death']
"Davis, Arthur Marshall",https://www.fjc.gov/history/judges/davis-arthur-marshall,history/judges/davis-arthur-marshall,['1907'],"['August 21, 1961']",['U.S. District Court for the District of Arizona'],[],"['George Washington University Law School, LL.B., 1933']",['John F. Kennedy'],['death']
"Craig, Walter Early",https://www.fjc.gov/history/judges/craig-walter-early,history/judges/craig-walter-early,['1909'],"['September 25, 1963']",['U.S. District Court for the District of Arizona'],['1986'],"['Stanford University, B.A., 1931Stanford Law School, J.D., 1934']",['John F. Kennedy'],"['death.Other Federal Judicial Service:Judge, Temporary Emergency Court of Appeals, 1982-198']"
"Muecke, Charles Andrew",https://www.fjc.gov/history/judges/muecke-charles-andrew,history/judges/muecke-charles-andrew,['1918'],"['September 29, 1964']",['U.S. District Court for the District of Arizona'],['2007'],"['College of William and Mary, B.A., 1941University of Arizona College of Law, LL.B., 1953']",['Lyndon B. Johnson'],['death']
"Copple, William Perry",https://www.fjc.gov/history/judges/copple-william-perry,history/judges/copple-william-perry,['1916'],"['October 20, 1966']",['U.S. District Court for the District of Arizona'],['2000'],"['Long Beach Junior College (now Long Beach City College), A.A., 1934University of California, Berkeley, B.A., 1948University of California, Berkeley, Boalt Hall School of Law, J.D., 1951']",['Lyndon B. Johnson'],['death']
"Frey, William C.",https://www.fjc.gov/history/judges/frey-william-c,history/judges/frey-william-c,['1919'],"['November 25, 1970']",['U.S. District Court for the District of Arizona'],[],"['University of Arizona, B.A., 1947University of Arizona College of Law, J.D., 1950']",['Richard M. Nixon'],['death']
"Richey, Mary Anne",https://www.fjc.gov/history/judges/richey-mary-anne,history/judges/richey-mary-anne,['1917'],"['June 16, 1976']",['U.S. District Court for the District of Arizona'],[],"['University of Arizona College of Law, LL.B., 1951']",['Gerald Ford'],['death']
"Cordova, Valdemar Aguirre",https://www.fjc.gov/history/judges/cordova-valdemar-aguirre,history/judges/cordova-valdemar-aguirre,['1922'],"['June 19, 1979']",['U.S. District Court for the District of Arizona'],[],"['University of Arizona College of Law, J.D., 1950']",['Jimmy Carter'],['death']
"Bilby, Richard Mansfield",https://www.fjc.gov/history/judges/bilby-richard-mansfield,history/judges/bilby-richard-mansfield,['1931'],"['September 25, 1979']",['U.S. District Court for the District of Arizona'],['1998'],"['University of Arizona, B.S., 1955University of Michigan Law School, J.D., 1958']",['Jimmy Carter'],['death']
"Hardy, Charles Leach",https://www.fjc.gov/history/judges/hardy-charles-leach,history/judges/hardy-charles-leach,['1919'],"['May 21, 1980']",['U.S. District Court for the District of Arizona'],['2010'],"['University of Arizona, B.S., 1947University of Arizona College of Law, LL.B., 1950']",['Jimmy Carter'],['death']
"Marquez, Alfredo Chavez",https://www.fjc.gov/history/judges/marquez-alfredo-chavez,history/judges/marquez-alfredo-chavez,['1922'],"['June 26, 1980']",['U.S. District Court for the District of Arizona'],['2014'],"['University of Arizona, B.A., 1948University of Arizona College of Law, LL.B., 1950']",['Jimmy Carter'],['death']
"Carroll, Earl Hamblin",https://www.fjc.gov/history/judges/carroll-earl-hamblin,history/judges/carroll-earl-hamblin,['1925'],"['June 26, 1980']",['U.S. District Court for the District of Arizona'],[],"['University of Arizona, B.S., 1948University of Arizona College of Law, LL.B., 1951']",['Jimmy Carter'],"['death.Other Federal Judicial Service:Judge, Foreign Intelligence Surveillance Court, 1993-1999Judge, Alien Terrorist Removal Court, 1996-2006; chief judge, 1996-200']"
"Browning, William Docker",https://www.fjc.gov/history/judges/browning-william-docker,history/judges/browning-william-docker,['1931'],"['April 24, 1984']",['U.S. District Court for the District of Arizona'],[],"['University of Arizona, B.A., B.S., 1954University of Arizona College of Law, LL.B., 1960']",['Ronald Reagan'],['death']
"Rosenblatt, Paul Gerhardt",https://www.fjc.gov/history/judges/rosenblatt-paul-gerhardt,history/judges/rosenblatt-paul-gerhardt,['1928'],"['June 8, 1984']",['U.S. District Court for the District of Arizona'],[],"['University of Arizona, A.B., 1958University of Arizona College of Law, J.D., 1963']",['Ronald Reagan'],[]
"Broomfield, Robert Cameron",https://www.fjc.gov/history/judges/broomfield-robert-cameron,history/judges/broomfield-robert-cameron,['1933'],"['July 10, 1985']",['U.S. District Court for the District of Arizona'],['2014'],"['Pennsylvania State University, B.S., 1955University of Arizona College of Law, LL.B., 1961']",['Ronald Reagan'],"['death.Other Federal Judicial Service:Judge, Foreign Intelligence Surveillance Court, 2002-200']"
"Strand, Roger Gordon",https://www.fjc.gov/history/judges/strand-roger-gordon,history/judges/strand-roger-gordon,['1934'],"['July 19, 1985']",['U.S. District Court for the District of Arizona'],['2017'],"['Hamilton College, B.A., 1955Cornell Law School, LL.B., 1961National College of State Trial Judges (now National Judicial College), 1968']",['Ronald Reagan'],['death']
